telco,tenDoiTac,requestId,transIdVpay,ngayGd,ketQuaFinal,menhgia,chietkhau
Viettel,vimo,IMD-2021101511323845996210998,54748,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846096210999,54749,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211000,54750,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211001,54751,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211002,54752,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211003,54753,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211004,54754,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211005,54755,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211006,54756,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211007,54757,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211008,54758,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211009,54759,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846096211010,54760,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211011,54761,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211012,54762,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211013,54763,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211014,54764,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211015,54765,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211016,54766,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211017,54767,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846096211018,54768,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211019,54769,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846096211020,54770,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846096211021,54771,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846072281022,54772,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281023,54773,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846172281024,54774,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281025,54775,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281026,54776,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281027,54777,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846172281028,54778,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846172281029,54779,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281030,54780,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281031,54781,2022-03-06 04:34:50.497,A,20000,0.035
Viettel,vimo,IMD-2021101511323846172281032,54782,2022-03-06 04:34:50.497,A,10000,0.035
Viettel,vimo,IMD-2021101511323846172281033,54783,2022-03-06 04:34:50.497,A,20000,0.035
