ProductId,Product Name, Total quantity, Snapshot date
1,Viettel 10.000,0,2023-01-30 04:49:09.14
2,Viettel 20.000 ,0,2023-01-30 04:49:09.14
3,Viettel 30.000 ,0,2023-01-30 04:49:09.14
4,Viettel 50.000 ,0,2023-01-30 04:49:09.14
5,Viettel 100.000 ,0,2023-01-30 04:49:09.14
6,Viettel 200.000 ,0,2023-01-30 04:49:09.14
7,Viettel 300.000 ,0,2023-01-30 04:49:09.14
8,Viettel 500.000 ,0,2023-01-30 04:49:09.14
18,Vinaphone 20.000,0,2023-01-30 04:49:09.14
19,Vinaphone 30.000,0,2023-01-30 04:49:09.14
20,Vinaphone 50.000,0,2023-01-30 04:49:09.14
21,Vinaphone 100.000,0,2023-01-30 04:49:09.14
22,Vinaphone 200.000,0,2023-01-30 04:49:09.14
23,Vinaphone 300.000,0,2023-01-30 04:49:09.14
24,Vinaphone 500.000,0,2023-01-30 04:49:09.14
26,Mobifone 20.000,0,2023-01-30 04:49:09.14
27,Mobifone 30.000,0,2023-01-30 04:49:09.14
28,Mobifone 50.000,0,2023-01-30 04:49:09.14
29,Mobifone 100.000,0,2023-01-30 04:49:09.14
30,Mobifone 200.000,0,2023-01-30 04:49:09.14
31,Mobifone 300.000,0,2023-01-30 04:49:09.14
32,Mobifone 500.000,0,2023-01-30 04:49:09.14
42,Vcoin 50.000,0,2023-01-30 04:49:09.14
43,Vcoin 100.000,0,2023-01-30 04:49:09.14
44,Vcoin 200.000,0,2023-01-30 04:49:09.14
45,Vcoin 300.000,0,2023-01-30 04:49:09.14
46,Vcoin 500.000,0,2023-01-30 04:49:09.14
57,Gate 20.000,0,2023-01-30 04:49:09.14
59,Gate 50.000,0,2023-01-30 04:49:09.14
69,ZingCard 20.000,0,2023-01-30 04:49:09.14
74,Beeline 10.000,0,2023-01-30 04:49:09.14
75,Beeline 20.000,0,2023-01-30 04:49:09.14
76,Beeline 30.000,0,2023-01-30 04:49:09.14
77,Beeline 50.000,0,2023-01-30 04:49:09.14
78,Beeline 100.000,0,2023-01-30 04:49:09.14
79,Beeline 200.000,0,2023-01-30 04:49:09.14
80,Beeline 300.000,0,2023-01-30 04:49:09.14
81,Beeline 500.000,0,2023-01-30 04:49:09.14
82,vnmobile 10.000,0,2023-01-30 04:49:09.14
83,vnmobile 20.000,0,2023-01-30 04:49:09.14
85,vnmobile 50.000,0,2023-01-30 04:49:09.14
86,vnmobile 100.000,0,2023-01-30 04:49:09.14
87,vnmobile 200.000,0,2023-01-30 04:49:09.14
88,vnmobile 300.000,0,2023-01-30 04:49:09.14
89,vnmobile 500.000,0,2023-01-30 04:49:09.14
90,OncashDN 20000,0,2023-01-30 04:49:09.14
92,OncashDN 100000,0,2023-01-30 04:49:09.14
93,OncashDN 200000,0,2023-01-30 04:49:09.14
100,Gate 10.000,0,2023-01-30 04:49:09.14
101,Gate 100.000,0,2023-01-30 04:49:09.14
102,Gate 200.000,0,2023-01-30 04:49:09.14
103,Gate 500.000,0,2023-01-30 04:49:09.14
105,OncashDN 50000,0,2023-01-30 04:49:09.14
106,OncashDN 500000,0,2023-01-30 04:49:09.14
107,Vcoin 10.000,0,2023-01-30 04:49:09.14
108,ZingCard 10.000,0,2023-01-30 04:49:09.14
110,ZingCard 50.000,0,2023-01-30 04:49:09.14
111,ZingCard 100.000,0,2023-01-30 04:49:09.14
112,ZingCard 200.000,0,2023-01-30 04:49:09.14
114,ZingCard 500.000,0,2023-01-30 04:49:09.14
210,Garena 20.000,0,2023-01-30 04:49:09.14
211,Garena 50.000,0,2023-01-30 04:49:09.14
212,Garena 100.000,0,2023-01-30 04:49:09.14
213,Garena 200.000,0,2023-01-30 04:49:09.14
214,Garena 500.000,0,2023-01-30 04:49:09.14
225,ZingCard 1.000.000,0,2023-01-30 04:49:09.14
226,ZingCard 2.000.000,0,2023-01-30 04:49:09.14
227,ZingCard 5.000.000,0,2023-01-30 04:49:09.14
228,Gate 1000.000,0,2023-01-30 04:49:09.14
229,Gate 2000.000,0,2023-01-30 04:49:09.14
230,Gate 5000.000,0,2023-01-30 04:49:09.14
254,VCOIN 1000.000,0,2023-01-30 04:49:09.14
269,Viettel 1.000.000,0,2023-01-30 04:49:09.14
313,BIT 10.000,0,2023-01-30 04:49:09.14
314,BIT 20.000,0,2023-01-30 04:49:09.14
315,BIT 50.000,0,2023-01-30 04:49:09.14
316,BIT 100.000,0,2023-01-30 04:49:09.14
317,BIT 200.000,0,2023-01-30 04:49:09.14
318,BIT 500.000,0,2023-01-30 04:49:09.14
319,BIT 1.000.000,0,2023-01-30 04:49:09.14
320,BIT 2.000.000,0,2023-01-30 04:49:09.14
321,BIT 5.000.000,0,2023-01-30 04:49:09.14
322,DataVNP 20000,0,2023-01-30 04:49:09.14
323,DataVNP 50000,0,2023-01-30 04:49:09.14
324,DataVNP 70000,0,2023-01-30 04:49:09.14
325,DataVNP 100000,0,2023-01-30 04:49:09.14
326,DataVNP 120000,0,2023-01-30 04:49:09.14
327,DataVNP 150000,0,2023-01-30 04:49:09.14
329,DataVTT 10000,0,2023-01-30 04:49:09.14
330,DataVTT 50000,0,2023-01-30 04:49:09.14
331,DataVTT 100000,0,2023-01-30 04:49:09.14
332,DataVMS 1000,0,2023-01-30 04:49:09.14
333,DataVMS 2000,0,2023-01-30 04:49:09.14
334,DataVMS 3000,0,2023-01-30 04:49:09.14
335,DataVMS 5000,0,2023-01-30 04:49:09.14
336,DataVMS 10000,0,2023-01-30 04:49:09.14
339,DataVMS 100000,0,2023-01-30 04:49:09.14
340,DataVMS 200000,0,2023-01-30 04:49:09.14
341,DataVMS 300000,0,2023-01-30 04:49:09.14
342,DataVMS 500000,0,2023-01-30 04:49:09.14
343,DataVMS 14000,0,2023-01-30 04:49:09.14
344,DataVMS 20000,0,2023-01-30 04:49:09.14
345,DataVMS 28000,0,2023-01-30 04:49:09.14
