telco,tenDoiTac,requestId,transIdVpay,ngayGd,ketQuaFinal,menhgia,chietkhau
Viettel,vimo,IMD-TEST-2021083018112735873380994,49748,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873380995,49749,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873380996,49750,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873380997,49751,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873380998,49752,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873380999,49753,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381000,49754,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381001,49755,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381002,49756,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381003,49757,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381004,49758,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381005,49759,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381006,49760,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381007,49761,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381008,49762,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381009,49763,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735873381010,49764,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451011,49765,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451012,49766,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451013,49767,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451014,49768,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451015,49769,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451016,49770,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451017,49771,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451018,49772,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451019,49773,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451020,49774,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451021,49775,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451022,49776,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735949451023,49777,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735625510956,49778,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735625510957,49779,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112735625510958,49780,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727594160032,49781,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727594160033,49782,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727594160034,49783,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727594160035,49784,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727574480036,49785,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480037,49786,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480038,49787,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480039,49788,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480040,49789,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480041,49790,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727674480042,49791,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550043,49792,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550044,49793,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550045,49794,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550046,49795,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550047,49796,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550048,49797,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727750550049,49798,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727722360050,49799,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360051,49800,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360052,49801,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360053,49802,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360054,49803,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360055,49804,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360056,49805,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360057,49806,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727822360058,49807,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727898410059,49808,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410060,49809,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410061,49810,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410062,49811,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410063,49812,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410064,49813,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410065,49814,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727998410066,49815,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726765980000,49816,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726865980001,49817,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726865980002,49818,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726942040003,49819,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726942040004,49820,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112726942040005,49821,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727013860006,49822,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727089910007,49823,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727189910008,49824,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727189910009,49825,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727189910010,49826,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727189910011,49827,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727189910012,49828,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230013,49829,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230014,49830,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230015,49831,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230016,49832,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230017,49833,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727270230018,49834,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727346290019,49835,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727346290020,49836,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727346290021,49837,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727346290022,49838,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727318110023,49839,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727418110024,49840,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727418110025,49841,2022-03-06 04:34:50.497,A,50000,0.035
Viettel,vimo,IMD-TEST-2021083018112727418110026,49842,2022-03-06 04:34:50.497,A,50000,0.035
